linear_x, angular_z, timestamp
35.0, 0.0, 1681919066.306159590
0.0, 0.0, 1681919068.248267781
35.0, 0.0, 1681919069.160128397
0.0, 0.0, 1681919069.399300525
35.0, 0.0, 1681919069.565029796
35.0, 0.0, 1681919069.587557328
0.0, 0.0, 1681919069.611869635
-35.0, 0.0, 1681919071.45153910
0.0, 0.0, 1681919071.162152567
0.0, 45.0, 1681919072.272963268
0.0, 0.0, 1681919072.476240062
0.0, -45.0, 1681919074.310101549
0.0, 0.0, 1681919074.495488631
0.0, 45.0, 1681919075.818826665
0.0, 0.0, 1681919076.11936926
0.0, 45.0, 1681919076.133143106
0.0, 0.0, 1681919076.268151532
35.0, 0.0, 1681919076.743092403
0.0, 0.0, 1681919077.17901404
35.0, 0.0, 1681919077.251864536
0.0, 0.0, 1681919077.394248407
-35.0, 0.0, 1681919079.49631657
0.0, 0.0, 1681919079.147243855
0.0, 45.0, 1681919079.844145276
0.0, 0.0, 1681919079.916351894
35.0, 0.0, 1681919080.303708176
0.0, 0.0, 1681919080.462630253
35.0, 0.0, 1681919080.990835657
0.0, 0.0, 1681919081.112905950
35.0, 0.0, 1681919081.511969141
0.0, 0.0, 1681919081.655603014
